shannon data2.Group
2.63621165233573 Case
1.66955089366752 Case
1.5162945324223 Case
1.60460413842313 Case
2.66286460909731 Case
1.05328154222482 Case
1.87980514545954 Control
2.17441160645446 Control
2.17440079685638 Control
1.80864586002979 Control
2.03520498417108 Control
1.96948702185242 Control
